year_month;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68
01.02.1982;0,009445526;0,002287101;0,010447635;0,010839835;0,008054326;0,010963362;0,002770194;0,017786561;0,008512273;0,016445101;0,022538085;0,022329118;0,0185057;0,004999758;0,03261693;0,012796897;0,010411086;0,011389171;0,038588438;0,015506038;0,011232452;0,01213226;0,009895439;0,017135612;0,01529179;0,004557432;0,011194917;0,015790093;0,01613299;0,01310324;0,007374935;0,013613014;0,05022736;0,012164214;0,010709065;0,013664038;0,012768586;0,012743109;0,01280824;0,009487615;0,019810079;0,008478005;0,017727091;0,005472961;0,044781067;0,009236432;0,014463389;0,013851735;0,019209147;0,014490822;0,016747988;0,008332167;0,003558586;0,011854783;0,007941607;0,019533645;0,020422005;0,02816457;0,006993019;0,042729085;0,008939411;0,012996433;0,009342695;0,008642997;0,008759707;0,012311649;0,020885318;0,01506407
01.03.1982;0,008285264;0,002281179;0,010296191;0,01061838;0,007334255;0,010966423;0,002939984;0,015078136;0,006724348;0,013580442;0,024445351;0,023093646;0,022761661;0,004378721;0,034850659;0,012310023;0,01035272;0,009625132;0,036476544;0,018658719;0,013783629;0,015161343;0,010802781;0,017265547;0,013268776;0,005268935;0,010037933;0,019843708;0,017006961;0,010012795;0,008172188;0,012576049;0,042995313;0,013621365;0,00967777;0,011961221;0,012367507;0,016265875;0,013092275;0,010000335;0,017379563;0,010187288;0,018273046;0,004420618;0,042892372;0,009041178;0,015604498;0,013886508;0,018162108;0,017295509;0,016205641;0,007480274;0,003627251;0,013338797;0,010505324;0,024206251;0,015131383;0,023573262;0,007476631;0,038974874;0,010691015;0,01172659;0,01037545;0,007876474;0,012547512;0,011627955;0,023810928;0,015441619
01.04.1982;0,008224128;0,002418875;0,009889333;0,010980624;0,006885934;0,010033231;0,003034452;0,014447303;0,013757741;0,014312176;0,023256464;0,020177963;0,016748903;0,005866313;0,033674957;0,012465315;0,010296205;0,009593968;0,037836479;0,01728229;0,015103629;0,012198348;0,013296365;0,018460634;0,010769032;0,004917243;0,010416361;0,014779378;0,019279806;0,010365211;0,008282329;0,014784119;0,041170876;0,010721746;0,010455387;0,0105656;0,012775422;0,008990934;0,011189504;0,013169316;0,016956466;0,009800582;0,017665328;0,005075541;0,040775413;0,009940632;0,013667277;0,012314919;0,019496592;0,014197624;0,017751314;0,010981248;0,003689407;0,020015453;0,008858854;0,024440809;0,030168795;0,020967081;0,007046769;0,037068873;0,009499501;0,011826981;0,008355772;0,00790007;0,015133956;0,011833295;0,024813513;0,016884039
01.05.1982;0,008584336;0,00224449;0,010352459;0,010290122;0,006901004;0,011285034;0,003209489;0,015631998;0,014704346;0,015145241;0,02205573;0,021234106;0,025397229;0,005325321;0,032957176;0,014874894;0,01140713;0,009573746;0,038959156;0,014432581;0,011200999;0,01275153;0,010254527;0,018411577;0,01566301;0,004285216;0,012736407;0,01348683;0,018884354;0,008117981;0,006630433;0,011794777;0,043991226;0,012592148;0,011701759;0,011835205;0,013107798;0,006992914;0,010228478;0,011919713;0,01941177;0,008668316;0,026937581;0,004955558;0,043471824;0,010669639;0,015415113;0,012942483;0,016877313;0,013593787;0,016755385;0,011756232;0,00314155;0,014716176;0,009717172;0,022981355;0,017631792;0,022314519;0,007107958;0,037508397;0,010391005;0,013516179;0,009153069;0,007486056;0,01539032;0,011111975;0,020895385;0,014329621
01.06.1982;0,006958703;0,002250349;0,01081124;0,009705503;0,010721894;0,009437735;0,00302635;0,015667846;0,009240812;0,014080168;0,023408531;0,020228952;0,020261984;0,010244142;0,031214377;0,01644069;0,011365686;0,009039161;0,039559161;0,017967757;0,012625232;0,012953972;0,015363705;0,021988075;0,013718149;0,00506585;0,010987859;0,010844817;0,020569843;0,009625559;0,006652637;0,013854676;0,031688705;0,015523979;0,011063004;0,012215336;0,011444566;0,006429509;0,014445687;0,014039506;0,016058836;0,011534146;0,025542408;0,00564215;0,05244605;0,009372679;0,013494259;0,012456515;0,016773824;0,013401019;0,017231989;0,009151695;0,005321197;0,013852971;0,006899842;0,021890911;0,01313444;0,020558791;0,00670483;0,034474352;0,010177874;0,01231841;0,007807312;0,007294892;0,022466012;0,011271236;0,023724663;0,01626499
01.07.1982;0,008325826;0,002749426;0,009596953;0,011144767;0,007212969;0,010926093;0,002937254;0,012520413;0,008922342;0,01944384;0,025330009;0,021270121;0,022725987;0,008264781;0,039384287;0,010173967;0,010731542;0,010702922;0,035722962;0,019767532;0,010828362;0,010649527;0,008761491;0,014601376;0,012549406;0,005934443;0,011968441;0,014709161;0,023548052;0,010820073;0,00794394;0,013400667;0,032948833;0,012651745;0,011285042;0,012098564;0,014178068;0,006484199;0,013180716;0,011651189;0,0181161;0,009687438;0,019306272;0,00459727;0,041986067;0,008934869;0,016517646;0,014683352;0,01934843;0,01922504;0,016865818;0,009236223;0,003308438;0,013135725;0,008363387;0,015927085;0,028567894;0,020027244;0,008068869;0,039024979;0,009870911;0,011258302;0,009246479;0,006840771;0,014437402;0,011963799;0,025532738;0,017874168
01.08.1982;0,008690512;0,002162751;0,011730395;0,010306375;0,010618584;0,012091723;0,002833939;0,015004549;0,014871578;0,022675165;0,023985568;0,020232709;0,029070168;0,007775623;0,034438439;0,00798408;0,010260074;0,011076708;0,035818931;0,018685367;0,011451429;0,012414882;0,007243049;0,015112708;0,014305194;0,005104766;0,011221896;0,011861437;0,019456646;0,008173099;0,006690647;0,013012908;0,039547844;0,023070224;0,010991867;0,010938749;0,014071712;0,005882876;0,015459081;0,014975361;0,016675562;0,008811006;0,025929454;0,005791536;0,032038208;0,00756918;0,016002747;0,013933781;0,017416821;0,017989757;0,016054618;0,007118958;0,004743131;0,010973493;0,007320933;0,017480014;0,016118744;0,021518671;0,007169407;0,039801325;0,011064702;0,012892587;0,009353048;0,008597247;0,009632055;0,013770572;0,02514282;0,01779001
01.09.1982;0,008795518;0,002080539;0,013681597;0,00956289;0,008957416;0,010395016;0,002829453;0,017331231;0,017276063;0,015231711;0,02412483;0,022790831;0,023660392;0,010598015;0,033971935;0,010092576;0,012461998;0,011683748;0,037835951;0,015929371;0,013349046;0,010916627;0,005827251;0,019074462;0,01604492;0,005893439;0,010598469;0,010325034;0,01749742;0,011952698;0,00666763;0,015636332;0,02618058;0,012018692;0,010474386;0,010025962;0,012059423;0,005961583;0,013533625;0,010963607;0,021224624;0,008665897;0,044463346;0,007840439;0,035882417;0,008776395;0,017767188;0,0147893;0,016643567;0,018071609;0,014006676;0,007063716;0,006294395;0,011978756;0,008165499;0,026287751;0,012101287;0,023896109;0,007617338;0,035853954;0,010193541;0,01527912;0,006267463;0,009376481;0,008155409;0,010725159;0,023254985;0,015065316
01.10.1982;0,00867979;0,002085254;0,014175227;0,009733089;0,007695469;0,009463737;0,002720973;0,016008085;0,009379827;0,014580051;0,021867685;0,018005412;0,014952403;0,006825738;0,037121133;0,012042017;0,009502933;0,00856608;0,041414189;0,016137293;0,011225747;0,011983447;0,009246136;0,021247894;0,018940477;0,00521956;0,009042269;0,008713447;0,014677296;0,01070776;0,006780426;0,013413219;0,028288692;0,017171747;0,01172685;0,010369288;0,012007364;0,006318749;0,010326626;0,01122482;0,015519215;0,010973765;0,061024342;0,008844338;0,032287341;0,009064972;0,02134792;0,015368661;0,019550874;0,015937748;0,012428456;0,007670458;0,004355007;0,010735386;0,0082487;0,025643565;0,024397216;0,02037785;0,007755681;0,04414032;0,012065273;0,013863932;0,005584625;0,006646329;0,009810894;0,011305877;0,018812463;0,016650594
01.11.1982;0,007966252;0,002232414;0,012320102;0,01039606;0,007028776;0,012236125;0,002891042;0,016317178;0,010681124;0,016606952;0,024196551;0,022126272;0,014824885;0,005293419;0,034061579;0,011897945;0,01083514;0,012163257;0,042994997;0,015915776;0,012551152;0,011018947;0,010927973;0,017267242;0,017850968;0,006003962;0,008271966;0,012772169;0,016688075;0,010077987;0,006693415;0,012631175;0,040774436;0,015264681;0,010004379;0,015499099;0,014320961;0,008288177;0,008484977;0,010820491;0,017895996;0,0090486;0,042163428;0,006099118;0,043412608;0,008525246;0,017690882;0,014221056;0,018596429;0,016787838;0,013991487;0,007210073;0,002918631;0,012604317;0,009094049;0,02800239;0,015513874;0,019829394;0,008198935;0,037603014;0,009690097;0,012787261;0,007039612;0,008140723;0,009244292;0,011096407;0,0189459;0,014450262
